Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-110.99999999999764,13.0,-110.99999999999764,13.0
1,3000.0,-107.99999999999821,14.0,-109.49999999999793,13.5
2,4500.0,-119.9999999999971,10.0,-112.99999999999766,12.333333333333334
3,6000.0,-116.99999999999706,11.0,-113.9999999999975,12.0
4,7500.0,-110.99999999999747,13.0,-113.3999999999975,12.2
5,9000.0,-116.99999999999709,11.0,-113.99999999999743,12.0
6,10500.0,-119.9999999999971,10.0,-114.85714285714025,11.714285714285714
7,12000.0,-110.99999999999733,13.0,-114.37499999999737,11.875
8,13500.0,-116.99999999999747,11.0,-114.66666666666404,11.777777777777779
9,15000.0,-116.99999999999733,11.0,-114.89999999999739,11.7
10,16500.0,-116.99999999999706,11.0,-115.09090909090645,11.636363636363637
11,18000.0,-110.99999999999774,13.0,-114.74999999999739,11.75
12,19500.0,-116.99999999999706,11.0,-114.92307692307428,11.692307692307692
13,21000.0,-107.99999999999758,14.0,-114.4285714285688,11.857142857142858
14,22500.0,-107.99999999999781,14.0,-113.99999999999741,12.0
15,24000.0,-107.99999999999815,14.0,-113.62499999999746,12.125
16,25500.0,-107.9999999999975,14.0,-113.29411764705628,12.235294117647058
17,27000.0,-110.999999999997,13.0,-113.16666666666409,12.277777777777779
18,28500.0,-110.99999999999748,13.0,-113.05263157894481,12.31578947368421
19,30000.0,-110.99999999999746,13.0,-112.94999999999743,12.35
20,31500.0,-101.9999999999979,16.0,-112.49999999999743,12.5
21,33000.0,-104.99999999999787,15.0,-112.34999999999744,12.55
22,34500.0,-107.99999999999761,14.0,-111.74999999999746,12.75
23,36000.0,-110.99999999999768,13.0,-111.44999999999747,12.85
24,37500.0,-107.99999999999768,14.0,-111.2999999999975,12.9
25,39000.0,-107.99999999999744,14.0,-110.84999999999752,13.05
26,40500.0,-101.99999999999824,16.0,-109.94999999999757,13.35
27,42000.0,-110.99999999999761,13.0,-109.94999999999759,13.35
28,43497.0,-131.59999999999783,16.0,-110.6799999999976,13.6
29,44997.0,-104.99999999999764,15.0,-110.07999999999763,13.8
30,46497.0,-104.99999999999817,15.0,-109.47999999999767,14.0
31,47997.0,-98.9999999999981,17.0,-108.8799999999977,14.2
32,49497.0,-110.99999999999764,13.0,-108.57999999999772,14.3
33,50997.0,-104.99999999999798,15.0,-108.42999999999775,14.35
34,52497.0,-98.99999999999773,17.0,-107.97999999999774,14.5
35,53997.0,-101.99999999999781,16.0,-107.67999999999772,14.6
36,55497.0,-113.99999999999748,12.0,-107.97999999999772,14.5
37,56997.0,-107.99999999999727,14.0,-107.82999999999774,14.55
38,58497.0,-104.99999999999764,15.0,-107.52999999999774,14.65
39,59997.0,-113.9999999999974,12.0,-107.67999999999775,14.6
40,61497.0,-107.99999999999744,14.0,-107.97999999999772,14.5
41,62997.0,-98.99999999999815,17.0,-107.67999999999772,14.6
42,64351.0,-120.29999999999923,15.0,-108.2949999999978,14.65
43,65851.0,-110.99999999999771,13.0,-108.2949999999978,14.65
44,67351.0,-98.99999999999831,17.0,-107.84499999999784,14.8
45,68581.0,-107.90000000000019,15.0,-107.83999999999799,14.85
46,70081.0,-98.99999999999768,17.0,-107.68999999999797,14.9
47,71443.0,-109.09999999999964,19.0,-107.59499999999805,15.2
48,72943.0,-107.99999999999821,14.0,-106.41499999999807,15.1
49,74443.0,-98.99999999999771,17.0,-106.11499999999808,15.2
50,75943.0,-110.99999999999739,13.0,-106.41499999999803,15.1
51,77443.0,-107.9999999999979,14.0,-106.86499999999803,14.95
52,78943.0,-104.99999999999811,15.0,-106.56499999999805,15.05
53,80264.0,-116.99999999999945,15.0,-107.16499999999812,15.05
54,81354.0,-81.90000000000077,19.0,-106.30999999999827,15.15
55,82849.0,-125.39999999999844,18.0,-107.47999999999831,15.25
56,84133.0,-110.29999999999941,16.0,-107.29499999999841,15.45
57,85008.0,-60.400000000000155,19.0,-104.91499999999856,15.7
58,86508.0,-89.99999999999841,20.0,-104.16499999999857,15.95
59,87504.0,-90.50000000000091,13.0,-102.98999999999876,16.0
60,88503.0,-93.8000000000009,12.0,-102.27999999999894,15.9
61,90003.0,-98.9999999999981,17.0,-102.27999999999892,15.9
62,91454.0,-126.99999999999868,16.0,-102.6149999999989,15.95
63,92954.0,-116.99999999999704,11.0,-102.91499999999887,15.85
64,94454.0,-116.99999999999702,11.0,-103.8149999999988,15.55
65,95954.0,-110.99999999999751,13.0,-103.96999999999866,15.45
66,97335.0,-128.99999999999838,13.0,-105.4699999999987,15.25
67,98835.0,-116.99999999999727,11.0,-105.8649999999986,14.85
68,100335.0,-98.99999999999748,17.0,-105.41499999999856,15.0
69,101835.0,-110.9999999999969,13.0,-106.01499999999851,14.8
70,103335.0,-107.99999999999733,14.0,-105.8649999999985,14.85
71,104835.0,-92.99999999999906,19.0,-105.11499999999856,15.1
72,106335.0,-107.99999999999758,14.0,-105.26499999999855,15.05
73,107835.0,-92.99999999999935,19.0,-104.06499999999853,15.25
74,109335.0,-104.99999999999841,15.0,-105.21999999999841,15.05
75,110835.0,-107.99999999999778,14.0,-104.34999999999839,14.85
76,112335.0,-110.99999999999723,13.0,-104.38499999999829,14.7
77,113835.0,-110.99999999999727,13.0,-106.91499999999812,14.4
78,115335.0,-116.999999999997,11.0,-108.26499999999808,13.95
79,116835.0,-92.99999999999956,19.0,-108.38999999999801,14.25
80,118335.0,-104.9999999999983,15.0,-108.94999999999786,14.4
81,119835.0,-89.99999999999892,20.0,-108.49999999999791,14.55
82,121335.0,-98.9999999999977,17.0,-107.09999999999786,14.6
83,122835.0,-89.99999999999908,20.0,-105.74999999999795,15.05
84,124335.0,-107.99999999999731,14.0,-105.29999999999798,15.2
85,125835.0,-98.99999999999856,17.0,-104.69999999999803,15.4
86,127335.0,-80.99999999999764,23.0,-102.299999999998,15.9
87,128835.0,-104.99999999999844,15.0,-101.69999999999804,16.1
88,130335.0,-122.999999999997,9.0,-102.89999999999802,15.7
89,131835.0,-116.9999999999976,11.0,-103.19999999999804,15.6
90,133335.0,-110.99999999999814,13.0,-103.34999999999809,15.55
91,134630.0,-99.40000000000026,20.0,-103.66999999999817,15.6
92,134942.0,-22.09999999999991,13.0,-99.37499999999827,15.55
93,135837.0,-80.40000000000035,13.0,-98.74499999999833,15.25
94,137337.0,-98.99999999999855,17.0,-98.44499999999833,15.35
95,138073.0,-49.50000000000014,18.0,-95.51999999999845,15.55
96,139573.0,-101.99999999999855,16.0,-95.06999999999852,15.7
97,141073.0,-98.99999999999854,17.0,-94.46999999999858,15.9
98,142573.0,-122.9999999999973,9.0,-94.76999999999859,15.8
99,144073.0,-101.99999999999845,16.0,-95.21999999999854,15.65
100,145306.0,-96.2000000000006,19.0,-94.77999999999865,15.85
101,146806.0,-107.99999999999801,14.0,-95.67999999999861,15.55
102,147508.0,-79.10000000000043,7.0,-94.68499999999874,15.05
103,148736.0,-98.70000000000027,18.0,-95.1199999999988,14.95
104,150236.0,-116.99999999999739,11.0,-95.56999999999881,14.8
105,151243.0,-73.6000000000002,19.0,-94.29999999999889,14.9
106,152485.0,-109.09999999999981,15.0,-95.704999999999,14.5
107,152890.0,-16.39999999999996,18.0,-91.27499999999907,14.65
108,153398.0,-32.699999999999996,16.0,-86.75999999999922,15.0
109,153772.0,-7.300000000000104,20.0,-81.27499999999934,15.45
110,154247.0,-32.40000000000007,15.0,-77.34499999999943,15.55
111,155747.0,-104.99999999999808,15.0,-77.62499999999935,15.3
112,157247.0,-101.99999999999832,16.0,-81.61999999999925,15.45
113,157956.0,-46.800000000000225,18.0,-79.93999999999924,15.7
114,159277.0,-116.99999999999942,15.0,-80.83999999999929,15.6
115,160777.0,-101.99999999999794,16.0,-83.46499999999918,15.5
116,160920.0,-2.2000000000000597,14.0,-78.47499999999926,15.4
117,161277.0,-11.600000000000176,18.0,-74.10499999999934,15.45
118,161507.0,4.099999999999838,19.0,-67.74999999999949,15.95
119,162974.0,-122.59999999999889,18.0,-68.7799999999995,16.05
120,163497.0,-37.20000000000002,15.0,-65.82999999999947,15.85
121,163879.0,-14.100000000000101,18.0,-61.13499999999958,16.05
122,164678.0,-49.80000000000021,20.0,-59.669999999999575,16.7
123,166178.0,-89.99999999999918,20.0,-59.234999999999516,16.8
124,167678.0,-98.99999999999845,17.0,-58.33499999999957,17.1
125,168008.0,-5.900000000000002,19.0,-54.949999999999555,17.1
126,168438.0,-18.90000000000035,18.0,-50.439999999999586,17.25
127,168619.0,5.999999999999879,18.0,-49.319999999999595,17.25
128,168868.0,-0.8000000000002245,18.0,-47.7249999999996,17.35
129,169269.0,-25.000000000000096,15.0,-48.6099999999996,17.1
130,169538.0,-2.800000000000061,18.0,-47.129999999999605,17.25
131,170012.0,-23.300000000000306,18.0,-43.04499999999972,17.4
132,171215.0,-90.20000000000077,20.0,-42.454999999999835,17.6
133,171465.0,2.099999999999838,19.0,-40.009999999999835,17.65
134,172131.0,-42.5000000000002,18.0,-36.284999999999876,17.8
135,172344.0,-6.200000000000049,15.0,-31.494999999999983,17.75
136,173800.0,-127.49999999999856,16.0,-37.759999999999906,17.85
137,174026.0,1.499999999999936,18.0,-37.1049999999999,17.85
138,175526.0,-95.99999999999902,18.0,-42.10999999999984,17.8
139,177026.0,-98.9999999999989,17.0,-40.92999999999984,17.75
140,177307.0,-7.00000000000005,17.0,-39.419999999999845,17.85
141,178807.0,-98.99999999999889,17.0,-43.66499999999978,17.8
142,179055.0,2.2999999999998693,19.0,-41.05999999999978,17.75
143,179975.0,-55.90000000000056,22.0,-39.35499999999985,17.85
144,180269.0,-8.300000000000097,17.0,-34.81999999999993,17.85
145,181769.0,-98.99999999999866,17.0,-39.474999999999866,17.75
146,182717.0,-46.7000000000004,26.0,-40.86499999999986,18.15
147,183411.0,-54.300000000000296,15.0,-43.87999999999987,18.0
148,183624.0,-3.200000000000145,16.0,-43.99999999999987,17.9
149,183792.0,-1.7000000000000703,15.0,-42.83499999999987,17.9
150,184225.0,37.799999999999855,37.0,-40.80499999999987,18.85
151,185231.0,-76.5000000000006,18.0,-43.46499999999989,18.85
152,185635.0,4.699999999999555,25.0,-38.71999999999987,19.1
153,187135.0,-53.99999999999971,32.0,-41.52499999999985,19.75
154,187405.0,3.099999999999895,20.0,-39.24499999999985,19.85
155,188905.0,-39.000000000001265,37.0,-40.884999999999906,20.95
156,189680.0,6.599999999999213,38.0,-34.18000000000002,22.05
157,191164.0,-121.29999999999932,19.0,-40.31999999999998,22.1
158,191514.0,52.10000000000039,39.0,-32.915000000000006,23.15
159,191950.0,-19.500000000000327,18.0,-28.940000000000083,23.2
160,192131.0,-6.000000000000071,14.0,-28.89000000000008,23.05
161,192541.0,-19.900000000000283,17.0,-24.93500000000015,23.05
162,194018.0,-66.60000000000139,37.0,-28.380000000000212,23.95
163,194288.0,-2.900000000000091,18.0,-25.73000000000019,23.75
164,194557.0,-2.800000000000203,18.0,-25.455000000000197,23.8
165,194764.0,3.399999999999906,18.0,-20.335000000000267,23.85
166,195039.0,2.5999999999998593,20.0,-17.870000000000253,23.55
167,195247.0,3.299999999999905,18.0,-14.990000000000245,23.7
168,195593.0,-10.500000000000348,18.0,-15.355000000000254,23.8
169,195783.0,5.099999999999902,18.0,-15.015000000000256,23.95
170,197283.0,-42.00000000000133,36.0,-19.005000000000315,23.9
171,197524.0,-9.000000000000096,15.0,-15.63000000000029,23.75
