Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-107.99999999999764,14.0,-107.99999999999764,14.0
1,3000.0,-101.99999999999821,16.0,-104.99999999999793,15.0
2,4500.0,-116.99999999999709,11.0,-108.99999999999766,13.666666666666666
3,6000.0,-116.99999999999704,11.0,-110.9999999999975,13.0
4,7500.0,-107.99999999999763,14.0,-110.39999999999752,13.2
5,9000.0,-113.999999999997,12.0,-110.99999999999744,13.0
6,10500.0,-113.99999999999737,12.0,-111.42857142856886,12.857142857142858
7,12000.0,-110.99999999999723,13.0,-111.3749999999974,12.875
8,13500.0,-119.99999999999704,10.0,-112.3333333333307,12.555555555555555
9,15000.0,-110.99999999999748,13.0,-112.19999999999736,12.6
10,16500.0,-113.99999999999723,12.0,-112.36363636363372,12.545454545454545
11,18000.0,-116.99999999999748,11.0,-112.74999999999737,12.416666666666666
12,19500.0,-122.99999999999667,9.0,-113.53846153845886,12.153846153846153
13,21000.0,-104.99999999999768,15.0,-112.92857142856876,12.357142857142858
14,22321.0,-119.99999999999889,14.0,-113.39999999999745,12.466666666666667
15,23821.0,-113.99999999999717,12.0,-113.43749999999743,12.4375
16,25321.0,-95.99999999999842,18.0,-112.41176470587983,12.764705882352942
17,26821.0,-104.99999999999793,15.0,-111.99999999999751,12.88888888888889
18,28046.0,-110.49999999999883,14.0,-111.92105263157653,12.947368421052632
19,29442.0,-127.59999999999785,14.0,-112.70499999999758,13.0
20,30942.0,-110.99999999999744,13.0,-112.85499999999759,12.95
21,32313.0,-125.09999999999832,14.0,-114.00999999999758,12.85
22,33813.0,-107.99999999999763,14.0,-113.55999999999763,13.0
23,35313.0,-113.99999999999712,12.0,-113.40999999999762,13.05
24,36813.0,-110.9999999999977,13.0,-113.55999999999763,13.0
25,38313.0,-104.99999999999704,15.0,-113.10999999999763,13.15
26,39813.0,-116.99999999999726,11.0,-113.25999999999763,13.1
27,41313.0,-119.9999999999971,10.0,-113.70999999999762,12.95
28,42813.0,-116.99999999999747,11.0,-113.55999999999763,13.0
