Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-107.99999999999764,14.0,-107.99999999999764,14.0
1,3000.0,-101.99999999999821,16.0,-104.99999999999793,15.0
2,4500.0,-116.99999999999709,11.0,-108.99999999999766,13.666666666666666
3,6000.0,-116.99999999999704,11.0,-110.9999999999975,13.0
4,7500.0,-107.99999999999763,14.0,-110.39999999999752,13.2
5,9000.0,-116.99999999999702,11.0,-111.49999999999744,12.833333333333334
6,10500.0,-116.99999999999721,11.0,-112.28571428571169,12.571428571428571
7,11996.0,-137.59999999999746,14.0,-115.44999999999742,12.75
8,13496.0,-119.99999999999707,10.0,-115.95555555555292,12.444444444444445
9,14996.0,-113.99999999999748,12.0,-115.75999999999738,12.4
10,16496.0,-116.99999999999719,11.0,-115.87272727272465,12.272727272727273
11,17996.0,-113.99999999999764,12.0,-115.71666666666407,12.25
12,19496.0,-113.99999999999699,12.0,-115.58461538461273,12.23076923076923
13,20996.0,-107.9999999999977,14.0,-115.04285714285452,12.357142857142858
14,22476.0,-132.9999999999977,15.0,-116.23999999999741,12.533333333333333
15,23976.0,-110.99999999999731,13.0,-115.9124999999974,12.5625
16,25476.0,-104.99999999999766,15.0,-115.27058823529153,12.705882352941176
17,26976.0,-110.99999999999753,13.0,-115.03333333333075,12.722222222222221
18,28476.0,-110.99999999999727,13.0,-114.82105263157636,12.736842105263158
19,29976.0,-110.99999999999723,13.0,-114.62999999999741,12.75
20,31476.0,-110.99999999999731,13.0,-114.77999999999739,12.7
21,32976.0,-113.99999999999727,12.0,-115.37999999999734,12.5
22,34476.0,-107.99999999999784,14.0,-114.92999999999738,12.65
23,35976.0,-113.99999999999727,12.0,-114.77999999999739,12.7
24,37476.0,-116.9999999999972,11.0,-115.22999999999736,12.55
25,38976.0,-98.99999999999835,17.0,-114.32999999999745,12.85
26,40476.0,-116.99999999999727,11.0,-114.32999999999745,12.85
27,41976.0,-113.99999999999706,12.0,-113.1499999999974,12.75
28,43318.0,-119.19999999999808,15.0,-113.10999999999747,13.0
