Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-107.99999999999764,14.0,-107.99999999999764,14.0
1,3000.0,-101.99999999999821,16.0,-104.99999999999793,15.0
2,4500.0,-116.99999999999709,11.0,-108.99999999999766,13.666666666666666
3,6000.0,-116.99999999999704,11.0,-110.9999999999975,13.0
4,7500.0,-107.99999999999763,14.0,-110.39999999999752,13.2
5,9000.0,-116.999999999997,11.0,-111.49999999999744,12.833333333333334
6,10500.0,-113.99999999999737,12.0,-111.85714285714029,12.714285714285714
7,12000.0,-110.99999999999724,13.0,-111.7499999999974,12.75
8,13500.0,-122.99999999999707,9.0,-112.99999999999737,12.333333333333334
9,15000.0,-113.99999999999727,12.0,-113.09999999999737,12.3
10,16500.0,-113.99999999999721,12.0,-113.18181818181553,12.272727272727273
11,18000.0,-116.99999999999748,11.0,-113.49999999999734,12.166666666666666
12,19500.0,-125.99999999999669,8.0,-114.46153846153577,11.846153846153847
13,21000.0,-107.9999999999977,14.0,-113.99999999999734,12.0
14,22500.0,-104.99999999999744,15.0,-113.39999999999733,12.2
15,24000.0,-107.99999999999731,14.0,-113.06249999999734,12.3125
16,25500.0,-110.9999999999977,13.0,-112.9411764705856,12.352941176470589
17,27000.0,-107.99999999999787,14.0,-112.66666666666406,12.444444444444445
18,28500.0,-107.99999999999744,14.0,-112.42105263157634,12.526315789473685
19,30000.0,-104.99999999999756,15.0,-112.04999999999741,12.65
20,31500.0,-98.99999999999808,17.0,-111.59999999999741,12.8
21,33000.0,-107.9999999999977,14.0,-111.89999999999739,12.7
22,34500.0,-107.99999999999727,14.0,-111.4499999999974,12.85
23,36000.0,-113.99999999999726,12.0,-111.29999999999741,12.9
24,37500.0,-95.99999999999866,18.0,-110.69999999999746,13.1
25,38696.0,-95.500000000001,18.0,-109.62499999999768,13.45
26,40196.0,-101.99999999999848,16.0,-109.02499999999773,13.65
27,41696.0,-110.99999999999764,13.0,-109.02499999999775,13.65
28,43196.0,-92.99999999999885,19.0,-107.52499999999782,14.15
