Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-107.99999999999764,14.0,-107.99999999999764,14.0
1,3000.0,-101.99999999999821,16.0,-104.99999999999793,15.0
2,4500.0,-116.99999999999709,11.0,-108.99999999999766,13.666666666666666
3,6000.0,-116.99999999999704,11.0,-110.9999999999975,13.0
4,7500.0,-107.99999999999763,14.0,-110.39999999999752,13.2
5,9000.0,-116.99999999999696,11.0,-111.49999999999743,12.833333333333334
6,10500.0,-113.99999999999737,12.0,-111.85714285714027,12.714285714285714
7,12000.0,-110.99999999999723,13.0,-111.7499999999974,12.75
8,13500.0,-119.99999999999723,10.0,-112.66666666666404,12.444444444444445
9,15000.0,-107.99999999999748,14.0,-112.19999999999739,12.6
10,16500.0,-110.99999999999743,13.0,-112.0909090909065,12.636363636363637
11,18000.0,-113.9999999999975,12.0,-112.2499999999974,12.583333333333334
12,19500.0,-116.9999999999969,11.0,-112.61538461538197,12.461538461538462
13,20798.0,-117.79999999999906,14.0,-112.98571428571177,12.571428571428571
14,22055.0,-113.69999999999897,14.0,-113.0333333333309,12.666666666666666
15,23555.0,-110.99999999999764,13.0,-112.90624999999758,12.6875
16,25055.0,-104.99999999999801,15.0,-112.44117647058584,12.823529411764707
17,26555.0,-110.99999999999721,13.0,-112.3611111111087,12.833333333333334
18,28055.0,-110.9999999999971,13.0,-112.28947368420809,12.842105263157896
19,29555.0,-116.99999999999727,11.0,-112.52499999999755,12.75
20,30901.0,-119.59999999999842,15.0,-113.10499999999759,12.8
21,32401.0,-104.99999999999739,15.0,-113.25499999999754,12.75
22,33901.0,-107.99999999999785,14.0,-112.80499999999759,12.9
23,35401.0,-110.99999999999726,13.0,-112.50499999999758,13.0
24,36901.0,-116.99999999999753,11.0,-112.95499999999758,12.85
25,38401.0,-101.99999999999716,16.0,-112.20499999999761,13.1
26,39901.0,-107.9999999999973,14.0,-111.90499999999761,13.2
27,41401.0,-119.9999999999971,10.0,-112.35499999999759,13.05
