Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-107.99999999999764,14.0,,
1,3000.0,-113.9999999999972,12.0,,
2,4500.0,-119.99999999999712,10.0,,
3,6000.0,-110.99999999999747,13.0,,
4,7500.0,-113.9999999999973,12.0,,
5,9000.0,-110.99999999999753,13.0,,
6,10500.0,-95.9999999999983,18.0,,
7,11844.0,-110.29999999999995,18.0,,
8,12699.0,-64.40000000000045,17.0,,
9,14199.0,-122.99999999999724,9.0,,
10,14782.0,-46.30000000000004,14.0,,
11,15402.0,-46.99999999999985,15.0,,
12,16750.0,-122.79999999999802,14.0,,
13,16979.0,-10.899999999999977,14.0,,
14,17499.0,-39.999999999999915,14.0,,
15,18999.0,-119.99999999999706,10.0,,
16,20499.0,-77.99999999999983,24.0,,
17,21999.0,-107.99999999999739,14.0,,
18,22586.0,-61.600000000000314,9.0,,
19,24086.0,-137.99999999999625,4.0,-92.21499999999844,13.4
20,25586.0,-122.99999999999713,9.0,-92.96499999999841,13.15
21,26047.0,-15.99999999999998,20.0,-88.06499999999855,13.55
22,27547.0,-107.99999999999825,14.0,-87.46499999999861,13.75
23,28238.0,-63.000000000000576,12.0,-85.06499999999876,13.7
24,29340.0,-107.0999999999996,11.0,-84.71999999999888,13.65
25,30840.0,-122.99999999999712,9.0,-85.31999999999886,13.45
26,31709.0,-56.80000000000075,20.0,-83.35999999999899,13.55
27,32392.0,-80.20000000000041,6.0,-81.85499999999901,12.95
28,33601.0,-108.89999999999887,14.0,-84.07999999999893,12.8
29,35101.0,-101.99999999999844,16.0,-83.02999999999898,13.15
30,36601.0,-107.99999999999751,14.0,-86.11499999999886,13.15
31,38101.0,-113.99999999999723,12.0,-89.46499999999874,13.0
32,38969.0,-47.700000000000486,23.0,-85.70999999999886,13.45
33,39309.0,-6.90000000000019,19.0,-85.50999999999887,13.7
34,39551.0,-0.10000000000019327,18.0,-83.51499999999888,13.9
35,41051.0,-128.99999999999656,7.0,-83.96499999999885,13.75
36,41682.0,-23.99999999999998,23.0,-81.26499999999886,13.7
37,41919.0,-8.70000000000013,15.0,-76.299999999999,13.75
38,42200.0,1.9999999999997442,20.0,-73.119999999999,14.3
39,43700.0,-86.9999999999996,21.0,-70.56999999999917,15.15
40,45200.0,-128.99999999999682,7.0,-70.86999999999914,15.05
41,45415.0,-9.499999999999972,14.0,-70.54499999999915,14.75
