Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-104.99999999999764,15.0,-104.99999999999764,15.0
1,3000.0,-98.99999999999815,17.0,-101.9999999999979,16.0
2,4500.0,-113.99999999999747,12.0,-105.99999999999777,14.666666666666666
3,6000.0,-107.99999999999763,14.0,-106.49999999999773,14.5
4,7500.0,-107.99999999999785,14.0,-106.79999999999775,14.4
5,9000.0,-113.99999999999731,12.0,-107.99999999999767,14.0
6,10500.0,-116.99999999999758,11.0,-109.28571428571195,13.571428571428571
7,12000.0,-128.99999999999653,7.0,-111.74999999999753,12.75
8,13294.0,-117.39999999999922,14.0,-112.37777777777549,12.88888888888889
9,14794.0,-113.99999999999736,12.0,-112.53999999999766,12.8
10,15530.0,-58.600000000000094,15.0,-107.63636363636152,13.0
11,17030.0,-92.99999999999879,19.0,-106.41666666666464,13.5
12,18530.0,-101.99999999999801,16.0,-106.07692307692105,13.692307692307692
13,20030.0,-89.99999999999946,20.0,-104.92857142856951,14.142857142857142
14,21530.0,-98.99999999999844,17.0,-104.53333333333144,14.333333333333334
15,22278.0,-62.80000000000041,14.0,-101.92499999999825,14.3125
16,23546.0,-51.79999999999998,35.0,-98.97647058823364,15.529411764705882
17,24534.0,-86.80000000000089,14.0,-98.29999999999849,15.444444444444445
18,26034.0,-119.99999999999743,10.0,-99.44210526315634,15.157894736842104
19,27534.0,-104.99999999999807,15.0,-99.71999999999841,15.15
20,29034.0,-63.00000000000058,29.0,-97.61999999999856,15.85
21,30534.0,-110.99999999999646,13.0,-98.21999999999848,15.65
22,32034.0,-60.00000000000066,30.0,-95.51999999999865,16.55
23,33534.0,-66.00000000000055,28.0,-93.4199999999988,17.25
24,34821.0,-113.69999999999946,15.0,-93.70499999999886,17.3
25,35981.0,-43.89999999999987,34.0,-90.199999999999,18.4
26,36412.0,-12.999999999999943,20.0,-84.99999999999912,18.85
27,37912.0,-20.999999999999982,43.0,-79.59999999999928,20.65
